LG+FC+BU{0.788775}, partition_302 = 160965-162263
MTZOA+FC+BU{0.551869}, partition_303 = 162264-162733
JTT+FC+BU{1.801860}, partition_304 = 162734-163142
JTT+FC+BU{1.114174}, partition_305 = 163143-163578
JTT+FC+BU{0.515058}, partition_306 = 163579-163839
JTT+FC+BU{0.372064}, partition_307 = 163840-164224
JTT-DCMUT+FC+BU{1.099806}, partition_308 = 164225-164509
JTT+FC+BU{1.755475}, partition_309 = 164510-164878
JTT+FC+BU{0.665669}, partition_310 = 164879-165140
JTT-DCMUT+FC+BU{1.160019}, partition_311 = 165141-165443
JTT-DCMUT+FC+BU{0.755990}, partition_312 = 165444-165746
CPREV+FC+BU{1.457788}, partition_313 = 165747-166263
JTT+FC+BU{0.222562}, partition_314 = 166264-167139
JTT+FC+BU{1.220845}, partition_315 = 167140-167931
HIVB+FC+BU{0.489410}, partition_316 = 167932-168579
JTT-DCMUT+FC+BU{0.341005}, partition_317 = 168580-169105
JTT-DCMUT+FC+BU{0.976754}, partition_318 = 169106-169579
LG+FC+BU{0.295273}, partition_319 = 169580-170194
MTZOA+FC+BU{0.639857}, partition_320 = 170195-170730
JTT+FC+BU{0.317787}, partition_321 = 170731-171199
JTT-DCMUT+FC+BU{0.296790}, partition_322 = 171200-171653
JTT+FC+BU{1.298047}, partition_323 = 171654-172157
JTT-DCMUT+FC+BU{0.751003}, partition_324 = 172158-172390
MTZOA+FC+BU{0.391363}, partition_325 = 172391-172660
JTT-DCMUT+FC+BU{1.415547}, partition_326 = 172661-172904
DAYHOFF+FC+BU{0.723540}, partition_327 = 172905-173163
JTT-DCMUT+BU{1.068514}, partition_328 = 173164-173695
JTT+FC+BU{1.052891}, partition_329 = 173696-173974
JTT-DCMUT+FC+BU{0.359914}, partition_330 = 173975-174220
JTT+FC+BU{2.204960}, partition_331 = 174221-174666
JTT+FC+BU{0.511076}, partition_332 = 174667-175677
JTT+FC+BU{0.601842}, partition_333 = 175678-176764
JTT+FC+BU{1.357498}, partition_334 = 176765-177031
JTT+FC+BU{0.270829}, partition_335 = 177032-177569
JTT-DCMUT+FC+BU{0.790730}, partition_336 = 177570-178151
JTT+FC+BU{0.247072}, partition_337 = 178152-178985
LG+BU{1.582092}, partition_338 = 178986-179484
JTT+FC+BU{0.196892}, partition_339 = 179485-179871
