JTT+FC+BU{1.513725}, partition_419 = 256729-257465
JTT+FC+BU{1.325998}, partition_420 = 257466-258007
CPREV+FC+BU{0.390525}, partition_421 = 258008-258163
JTT+FC+BU{0.808959}, partition_422 = 258164-259169
HIVB+FC+BU{0.641317}, partition_423 = 259170-259204
HIVB+FC+BU{0.778858}, partition_424 = 259205-259450
JTT+FC+BU{0.590830}, partition_425 = 259451-259816
HIVB+FC+BU{1.262349}, partition_426 = 259817-260049
JTT+FC+BU{0.819123}, partition_427 = 260050-260784
JTT-DCMUT+FC+BU{0.642850}, partition_428 = 260785-261409
JTT+FC+BU{0.808245}, partition_429 = 261410-262052
JTT+FC+BU{0.595989}, partition_430 = 262053-262752
JTT+FC+BU{0.963443}, partition_431 = 262753-263587
JTT+FC+BU{0.325624}, partition_432 = 263588-264083
JTT+FC+BU{0.183126}, partition_433 = 264084-264810
HIVW+FC+BU{2.986553}, partition_434 = 264811-264952
JTT-DCMUT+FC+BU{1.041888}, partition_435 = 264953-265744
JTT+FC+BU{0.446604}, partition_436 = 265745-266147
JTT+FC+BU{0.792269}, partition_437 = 266148-266868
LG+FC+BU{1.197093}, partition_438 = 266869-267243
JTT+FC+BU{0.843395}, partition_439 = 267244-268261
JTT+FC+BU{0.370261}, partition_440 = 268262-269555
JTT+FC+BU{1.220496}, partition_441 = 269556-269761
JTT+FC+BU{0.492800}, partition_442 = 269762-270232
MTREV+FC+BU{0.431160}, partition_443 = 270233-270602
MTMAM+FC+BU{0.211951}, partition_444 = 270603-270624
JTT+FC+BU{0.576617}, partition_445 = 270625-271132
JTT-DCMUT+FC+BU{2.668046}, partition_446 = 271133-271622
JTT+FC+BU{0.846588}, partition_447 = 271623-272157
JTT+FC+BU{0.231267}, partition_448 = 272158-272393
DAYHOFF+FC+BU{0.482106}, partition_449 = 272394-272507
JTT+FC+BU{0.211567}, partition_450 = 272508-273491
JTT-DCMUT+FC+BU{0.726186}, partition_451 = 273492-273807
JTT+FC+BU{0.481532}, partition_452 = 273808-274655
JTT+FC+BU{0.529694}, partition_453 = 274656-275542
MTZOA+FC+BU{0.154254}, partition_454 = 275543-276137
FLU+FC+BU{0.437270}, partition_455 = 276138-277414
MTREV+FC+BU{0.335581}, partition_456 = 277415-277651
JTT+FC+BU{0.190562}, partition_457 = 277652-278205
